2025-05-31 07:19:37,230 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:19:42,494 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:19:47,730 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:19:52,981 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:19:58,229 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:03,480 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:08,729 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:13,975 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:19,245 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:24,496 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:29,790 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:34,984 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:40,237 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:45,489 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:50,740 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:20:55,983 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:01,240 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:06,481 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:11,746 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:15,126 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:20,481 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:25,734 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:30,981 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:36,158 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:41,601 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
2025-05-31 07:21:46,981 - INFO - Test results: [(False, 'duplicate'), (False, 'duplicate'), (True, 'sent')]
